TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# hipe2022:original_source = data/preparation/corpus/en/retokenized/cu31924087948174_0022.xmi
# hipe2022:license = CC-BY
# hipe2022:language = en
# hipe2022:document_type = commentary
# hipe2022:document_id = cu31924087948174_0022
# hipe2022:date = 1881-01-01
# hipe2022:dataset = ajmc
# hipe2022:applicable_columns = TOKEN NE-COARSE-LIT NE-FINE-LIT NE-NESTED NEL-LIT MISC
# ajmc:version = v0.3
# ajmc:title = Sophocles
# ajmc:publication_place = Oxford
# ajmc:publication_date = 1881
# ajmc:page = 22
# ajmc:author = Campbell, Lewis
1449	B-scope	_	B-scope	_	_	O	_	_	InPrimaryReference|NoSpaceAfter|LED0.00
.	O	_	O	_	_	O	_	_	_
τῆσ	O	_	O	_	_	O	_	_	_
φιλτάτησ	O	_	O	_	_	O	_	_	_
OT	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
and	O	_	O	_	_	O	_	_	_
corrected	O	_	O	_	_	O	_	_	_
by	O	_	O	_	_	O	_	_	_
pr	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
m	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
in	O	_	O	_	_	O	_	_	_
L	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
Edd	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
“	O	_	O	_	_	O	_	_	NoSpaceAfter
τε	O	_	O	_	_	O	_	_	_
φιλτάτων	O	_	O	_	_	O	_	_	_
LA	O	_	O	_	_	O	_	_	NoSpaceAfter
”	O	_	O	_	_	O	_	_	_
Jahnl	B-pers	_	B-pers.editor	_	_	O	Q66001	_	EndOfSentence|Partial-0:4|LED0.00
1454	B-scope	_	B-scope	_	_	O	_	_	InPrimaryReference|NoSpaceAfter|LED0.00
.	O	_	O	_	_	O	_	_	_
ἂρ	O	_	O	_	_	O	_	_	NoSpaceAfter
’	O	_	O	_	_	O	_	_	_
O	O	_	O	_	_	O	_	_	_
Pal	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
ἄρ᾽	O	_	O	_	_	O	_	_	_
Edd	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
ἄρ᾽	O	_	O	_	_	O	_	_	_
A	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
1456	B-scope	_	B-scope	_	_	O	_	_	InPrimaryReference|NoSpaceAfter|LED0.00
.	O	_	O	_	_	O	_	_	_
εἰωθότωσ	O	_	O	_	_	O	_	_	_
OL	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
εἰωθότοσ	O	_	O	_	_	O	_	_	_
A	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
1460	B-scope	_	B-scope	_	_	O	_	_	InPrimaryReference|NoSpaceAfter|LED0.00
.	O	_	O	_	_	O	_	_	_
αὐτῶν	O	_	O	_	_	O	_	_	_
OL	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
αὐτὸν	O	_	O	_	_	O	_	_	_
A	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
Vat	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
ac	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
(	O	_	O	_	_	O	_	_	NoSpaceAfter
1467	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
εἰ	O	_	O	_	_	O	_	_	_
δ᾽	O	_	O	_	_	O	_	_	_
ἔπεστι	O	_	O	_	_	O	_	_	_
O	O	_	O	_	_	O	_	_	NoSpaceAfter
