TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# hipe2022:document_id = hidden_test_de_1
# hipe2022:date = 1895-07-06
# hipe2022:language = de
# hipe2022:dataset = newseye
# hipe2022:document_type = newspaper
# hipe2022:original_source = NewsEye-GT-NER_EL_StD-v1/NewsEye-German/hidden_test.tsv
# newseye:decade = 1895
# newseye:doi = https://doi.org/10.5281/zenodo.4573313
# newseye:version = v1.0
# newseye:publication_title =  aze 
# newseye:original_license = CC-BY 4.0
# hipe2022:applicable_columns = TOKEN NE-COARSE-LIT NE-FINE-LIT NE-NESTED NEL-LIT MISC
Redaktion:	O	_	O	_	_	O	_	_	NoSpaceAfter
Vom	O	_	O	_	_	O	_	_	_
Tage	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence
Wien	B-LOC	_	O	_	_	O	NIL	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
5	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
Juli	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence
erfahren	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
„	O	_	O	_	_	O	_	_	NoSpaceAfter
welche	O	_	O	_	_	O	_	_	_
einzelne	O	_	O	_	_	O	_	_	_
Individuen	O	_	O	_	_	O	_	_	_
oder	O	_	O	_	_	O	_	_	_
Bevölkerungs¬	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfLine
Der	O	_	O	_	_	O	_	_	_
Minister	O	_	O	_	_	O	_	_	_
des	O	_	O	_	_	O	_	_	_
Innern	O	_	O	_	_	O	_	_	_
wünschte	O	_	O	_	_	O	_	_	_
gestern	O	_	O	_	_	O	_	_	_
zu	O	_	O	_	_	O	_	_	NoSpaceAfter
erfahren	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
„	O	_	O	_	_	O	_	_	NoSpaceAfter
welche	O	_	O	_	_	O	_	_	_
einzelne	O	_	O	_	_	O	_	_	_
Individuen	O	_	O	_	_	O	_	_	_
oder	O	_	O	_	_	O	_	_	_
Bevölkerungs¬	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfLine
klassen	O	_	O	_	_	O	_	_	NoSpaceAfter
