TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# hipe2022:document_id = hidden_test_fi_1
# hipe2022:date = 1854-01-24
# hipe2022:language = fi
# hipe2022:dataset = newseye
# hipe2022:document_type = newspaper
# hipe2022:original_source = NewsEye-GT-NER_EL_StD-v1/NewsEye-Finnish/hidden_test.tsv
# newseye:decade = 1854
# newseye:doi = https://doi.org/10.5281/zenodo.4573313
# newseye:version = v1.0
# newseye:publication_title =  Antiqua 
# newseye:original_license = CC-BY 4.0
# hipe2022:applicable_columns = TOKEN NE-COARSE-LIT NE-FINE-LIT NE-NESTED NEL-LIT MISC
vellessaan	O	_	O	_	_	O	_	_	_
tsaaria	O	_	O	_	_	O	_	_	_
ja	O	_	O	_	_	O	_	_	_
isänmaata	O	_	O	_	_	O	_	_	_
seka	O	_	O	_	_	O	_	_	NoSpaceAfter
hänen	O	_	O	_	_	O	_	_	_
järkkymättömästä	O	_	O	_	_	O	_	_	_
velvollisuu	O	_	O	_	_	O	_	_	NoSpaceAfter
-	O	_	O	_	_	O	_	_	_
dentunnostaan	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
Edelleen	O	_	O	_	_	O	_	_	_
laski	O	_	O	_	_	O	_	_	_
valta	B-ORG	_	O	_	_	O	Q844793	_	NoSpaceAfter
-	I-ORG	_	O	_	_	O	Q844793	_	NoSpaceAfter
kunnanduuman	I-ORG	_	O	_	_	O	Q844793	_	_
puheenjohtaja	O	_	O	_	_	O	_	_	_
Rod	O	_	O	_	_	O	_	_	_
-	O	_	O	_	_	O	_	_	NoSpaceAfter
Seura	O	_	O	_	_	O	_	_	_
julkaisee	O	_	O	_	_	O	_	_	_
4	O	_	O	_	_	O	_	_	_
aikakauslehteä	O	_	O	_	_	O	_	_	_
ja	O	_	O	_	_	O	_	_	NoSpaceAfter
sillä	O	_	O	_	_	O	_	_	_
on	O	_	O	_	_	O	_	_	_
oma	O	_	O	_	_	O	_	_	_
kirjapaino	O	_	O	_	_	O	_	_	_
sekä	O	_	O	_	_	O	_	_	_
8	O	_	O	_	_	O	_	_	_
kir	O	_	O	_	_	O	_	_	NoSpaceAfter
-	O	_	O	_	_	O	_	_	NoSpaceAfter
jastoa	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
Luennoilla	O	_	O	_	_	O	_	_	_
on	O	_	O	_	_	O	_	_	_
käynyt	O	_	O	_	_	O	_	_	NoSpaceAfter
1	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	NoSpaceAfter
833	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	NoSpaceAfter
