TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# hipe2022:document_id = hidden_test_sv_1
# hipe2022:date = 1898-01-22
# hipe2022:language = sv
# hipe2022:dataset = newseye
# hipe2022:document_type = newspaper
# hipe2022:original_source = NewsEye-GT-NER_EL_StD-v1/NewsEye-Swedish/hidden_test.tsv
# newseye:decade = 1898
# newseye:doi = https://doi.org/10.5281/zenodo.4573313
# newseye:version = v1.0
# newseye:publication_title =  Antiqua 
# newseye:original_license = CC-BY 4.0
# hipe2022:applicable_columns = TOKEN NE-COARSE-LIT NE-FINE-LIT NE-NESTED NEL-LIT MISC
Till	O	_	O	_	_	O	_	_	_
sin	O	_	O	_	_	O	_	_	_
personlighet	O	_	O	_	_	O	_	_	_
gentleman	O	_	O	_	_	O	_	_	_
i	O	_	O	_	_	O	_	_	NoSpaceAfter
ordets	O	_	O	_	_	O	_	_	_
vackraste	O	_	O	_	_	O	_	_	_
betydelse	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
varmhjär	O	_	O	_	_	O	_	_	NoSpaceAfter
-	O	_	O	_	_	O	_	_	NoSpaceAfter
tad	O	_	O	_	_	O	_	_	_
och	O	_	O	_	_	O	_	_	_
ädelsinnad	O	_	O	_	_	O	_	_	_
som	O	_	O	_	_	O	_	_	_
få	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
kunde	O	_	O	_	_	O	_	_	NoSpaceAfter
såsom	O	_	O	_	_	O	_	_	_
belysande	O	_	O	_	_	O	_	_	_
härför	O	_	O	_	_	O	_	_	_
många	O	_	O	_	_	O	_	_	_
vack	O	_	O	_	_	O	_	_	NoSpaceAfter
-	O	_	O	_	_	O	_	_	NoSpaceAfter
ra	O	_	O	_	_	O	_	_	_
drag	O	_	O	_	_	O	_	_	_
framhållas	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
Det	O	_	O	_	_	O	_	_	_
var	O	_	O	_	_	O	_	_	_
dock	O	_	O	_	_	O	_	_	_
i	O	_	O	_	_	O	_	_	NoSpaceAfter
det	O	_	O	_	_	O	_	_	_
tysta	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
som	O	_	O	_	_	O	_	_	_
Robert	B-PER	_	O	_	_	O	NIL	_	_
Lydecken	I-PER	_	O	_	_	O	NIL	_	_
hälst	O	_	O	_	_	O	_	_	NoSpaceAfter
utöfvade	O	_	O	_	_	O	_	_	_
sin	O	_	O	_	_	O	_	_	_
välgörenhet	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
Vare	O	_	O	_	_	O	_	_	_
det	O	_	O	_	_	O	_	_	NoSpaceAfter
sagdt	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
att	O	_	O	_	_	O	_	_	_
stort	O	_	O	_	_	O	_	_	_
är	O	_	O	_	_	O	_	_	_
deras	O	_	O	_	_	O	_	_	_
antal	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
som	O	_	O	_	_	O	_	_	NoSpaceAfter
stå	O	_	O	_	_	O	_	_	_
i	O	_	O	_	_	O	_	_	_
tacksamhetsskuld	O	_	O	_	_	O	_	_	_
hos	O	_	O	_	_	O	_	_	_
