TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# hipe2022:document_id = 10033_Poole1860
# hipe2022:date = 1860-06-28
# hipe2022:language = en
# hipe2022:dataset = topres19th
# hipe2022:split = test
# hipe2022:converter_version = v2022-05-05
# hipe2022:document_type = newspaper
# hipe2022:original_source = test/annotated_tsv/10033_Poole1860.tsv
# hipe2022:applicable_columns = TOKEN NE-COARSE-LIT NEL-LIT MISC
# topres19th:dataset_doi = https://doi.org/10.23636/b1c4-py78
# topres19th:version = v2
# topres19th:original_license = CC-BY-NC-SA 4.0
# topres19th:fname = 10033_Poole1860
# topres19th:issue_date = 1860-06-28
# topres19th:decade = 1860
# topres19th:ocr_quality_mean = 0.8861
# topres19th:ocr_quality_sd = 0.1519
# topres19th:word_count = 306
# topres19th:publication_title = The Poole and South-Western Herald, etc.
# topres19th:place_publication = Poole
Steam	O	_	_	_	_	_	_	_	_
to	O	_	_	_	_	_	_	_	_
Australia	B-LOC	_	_	_	_	_	_	_	_
under	O	_	_	_	_	_	_	_	_
SO	O	_	_	_	_	_	_	_	_
Days	O	_	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_	EndOfSentence
PASSAGE	O	_	_	_	_	_	_	_	_
MONEY	O	_	_	_	_	_	_	_	_
£	O	_	_	_	_	_	_	_	NoSpaceAfter
l4	O	_	_	_	_	_	_	_	_
AND	O	_	_	_	_	_	_	_	_
UPWARDS	O	_	_	_	_	_	_	_	_
BLACK	O	_	_	_	_	_	_	_	_
BALL	O	_	_	_	_	_	_	_	_
LINE	O	_	_	_	_	_	_	_	_
OF	O	_	_	_	_	_	_	_	_
*	O	_	_	_	_	_	_	_	NoSpaceAfter
Will	O	_	_	_	_	_	_	_	_
and	O	_	_	_	_	_	_	_	_
Australian	O	_	_	_	_	_	_	_	_
Ex-Royal	O	_	_	_	_	_	_	_	_
Mail	O	_	_	_	_	_	_	_	_
Packets	O	_	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_	EndOfSentence
AND	O	_	_	_	_	_	_	_	_
EAGLE	O	_	_	_	_	_	_	_	_
LINE	O	_	_	_	_	_	_	_	_
OF	O	_	_	_	_	_	_	_	_
PACKETS	O	_	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_	EndOfSentence
TN	O	_	_	_	_	_	_	_	_
conjunction	O	_	_	_	_	_	_	_	_
with	O	_	_	_	_	_	_	_	_
the	O	_	_	_	_	_	_	_	_
Celebrated	O	_	_	_	_	_	_	_	_
.	O	_	_	_	_	_	_	_	NoSpaceAfter
•	O	_	_	_	_	_	_	_	_
Auxiliary	O	_	_	_	_	_	_	_	_
Screw	O	_	_	_	_	_	_	_	_
Steam	O	_	_	_	_	_	_	_	_
Clipper	O	_	_	_	_	_	_	_	_
r	O	_	_	_	_	_	_	_	_
•	O	_	_	_	_	_	_	_	_
t	O	_	_	_	_	_	_	_	_
0	O	_	_	_	_	_	_	_	_
